"Gift Card","Gutscheine"
"Manage Gift codes","Gutscheincodes verwalten"
"Manage Gift Card Product","Gutscheine verwalten"
"Generate Gift codes","Codes generieren"
"Settings","Einstellungen"
"Pattern examples:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>GIFT-[A.4]-[AN.6] : GIFT-ADFA-12NF0O</strong>","Formatierungsbeispiele:<br/><strong>[A.8] : 8 Buchstaben<br/>[N.4] : 4 Ziffern<br/>[AN.6] : 6 Alphanumerisch<br/>TEXT-[A.4]-[AN.6] : TEXT-ADFA-12NF0O</strong>"
"Balance","Balance"
"Status","Status"
"Expired at","Gültig bis"
"Enter Amount:","Anzahl eingeben:"
"Select Amount:","Anzahl auswählen:"
"Enter Amount:","Anzahl eingeben:"
"Send Gift Card to friend","Gutschein an einen Freund senden"
"Recipient Name:","Name des Empfängers:"
"Recipient Email:","E-Mail des Empfängers:"
"Yes","Ja"
"Export to:","Exportieren nach"
"Gift Card Credit information","Gutscheinkonto"
"Send through post office","Per Post versenden"
"Postal Address:","Adresse:"
"Custom message","Eigene Nachricht"
"Characters Remaining:","Verbleibende Zeichen"
"Created by %s","Erstellt von %s
"Excl. Tax:","Excl. Steuer:"
"Incl. Tax:","Inkl. Steuer:"
"From","Von"
"To","Bis"
"View","Zeige"
"Gift code pattern","Code-Struktur"
"Gift code value","Gutscheinwert"
"Last comments","letzte Kommentare"
"Conditions","Konditionen"
"Use money on customer gift card credit","Folgenden Betrag einsetzen" 
"Use the Gift Code only if the following conditions are met (leave blank for all products)","Gutschein nur benutzen, wenn folgende Bedingungen gegeben sind (für alle Produkte leer lassen)"
"Use gift card credit to checkout (%s)","Guthabenkonto verwenden (%s)"
"Use gift card to checkout","Gutschein verwenden"
"Gift Card Code","Gutscheincode eingeben"
"Add or subtract customer's balance. For ex: 99 or -99.","Gutscheinkontoguthaben erhöhen (z.B. mit +99) oder senken (z.B. mit -99)"
"Change Balance","Kontostand verändern"
"Message Information","Mitteilungen"
"Apply Gift Card","Anwenden"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Print","Drucken"
"Shipping and Tracking","Versand und Nachverfolgung"
"Shipped to Customer","An Kunde versandt"
"Customer Name","Name des Kunden"
"per page","Pro Seite"
"Gift Code Manager","Gutscheinverwaltung"
"Remove","Entfernen"
"Extra content","Zusätzlicher Inhalt"
"Removing Gift Card "%s" ...","Entferne Gutschein Code "%s" ..."
"The maximum number of times to enter Gift Card code is %d!","The maximum number of times to enter Gift Card code is %d!"
"Add Gift Code","Gutscheincode hinzufügen"
"Adding Gift Card...","Adding Gift Card..."
"General Information","Allgemeine Informationen"
"Pattern examples:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>GIFT-[A.4]-[AN.6] : GIFT-ADFA-12NF0O</strong>","Pattern examples:<br/><strong>[A.8] : 8 alpha chars<br/>[N.4] : 4 numerics<br/>[AN.6] : 6 alphanumeric<br/>GIFT-[A.4]-[AN.6] : GIFT-ADFA-12NF0O</strong>"
"Currency","Währung"
"Store view","Store view"
"Update comments","Kommentare aktualisieren"
"Created at","Erstellt in"
"Action","Aktion"
"Amount","Anzahl"
"Order","Bestellung"
"Comments","Kommentare"
"Customer","Kunde"
"Recipient","Empfänger"
"Customer Name,"Name"
"Customer Email","Email"
"Recipient Name","Name des Empfänger"
"Recipient Email","Email des Empfänger"
"Recipient Address","Adresse des Empfänger"
"Gift Code Information","Gutscheincode-Informationen"
"Transaction History","Transaktionsverlauf"
"Save","Speichern"
"Delete","Löschen"
"Save And Send Email","Speichern und Email versenden"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Print","Drucken"
"Edit Gift Code '%s'", "Bearbeite Gutscheincode '%s'"
"Add Gift Code","Gutscheincode hinzufügen"
"Initial amount","Wert"
"Are you sure?","Sicher?"
"Change status","Status ändern"
"Send email","Email versenden"
"Gift Code Manager","Gift Code Manager"
"Gift Code","Gutscheincode"
"Manage Gift Code","Gutscheincodes bearbeiten"
"New Gift Code","Neuer Gutscheincode"
"Gift Code does not exist","Gutscheincode existiert nicht"
"Updated by %s","Hochgeladen von %s"
"Created by %s","Erstellt von %s"
"Gift Code was successfully saved","Gutscheincode gespeichert"
"and (%d) email(s) were completely sent.","und (%d) Emails wurden versendet."
"Unable to find Gift Code to save","Unable to find Gift Code to save"
"Please select Gift Code(s)","Bitte Gutscheincodes auswählen"
"Mass status updated by %s","Mass status updated by %s"
"Gift card not found in your order!","Gift card not found in your order!"
"Invalid card code.","Gutscheincode ist ungültig."
"%s - Invalid gift card code. ","%s - Invalid Gutscheincode ist ungültig."
"You have %d times for enter gift card code.","Noch %d Eingaben möglich."
"Gift Card "%s" was applied to your order.","Der Gutschein "%s" wurde der Bestellung angefügt."
"You have %d times remain for checking card code.","You have %d times remain for checking card code."
"Gift Card "%s" is not found.","Gutschein "%s" konnte nicht gefunden werden."
